,L1_DAC,L1_DLAC,L1_HAC,L1_NGC-DA,L1_NGC-SA,L1_SLAC,L23_BP,L23_BTC,L23_ChC,L23_DBC,L23_LBC,L23_MC,L23_NBC,L23_NGC,L23_PC,L23_SBC,L4_BP,L4_BTC,L4_ChC,L4_DBC,L4_LBC,L4_MC,L4_NBC,L4_NGC,L4_PC,L4_SBC,L4_SP,L4_SS,L5_BP,L5_BTC,L5_ChC,L5_DBC,L5_LBC,L5_MC,L5_NBC,L5_NGC,L5_SBC,L5_STPC,L5_TTPC1,L5_TTPC2,L5_UTPC,L6_BP,L6_BPC,L6_BTC,L6_ChC,L6_DBC,L6_IPC,L6_LBC,L6_MC,L6_NBC,L6_NGC,L6_SBC,L6_TPC_L1,L6_TPC_L4,L6_UTPC,
L4_MC,508,167,546,420,277,237,3,1030,634,393,4619,4831,2779,314,73789,1052,0,304,111,298,2112,1971,1607,24,55110,865,21367,8949,12,586,45,202,1044,1519,735,5,63,6292,64740,59954,5777,0,6358,7,5,6,354,98,47,22,0,0,7861,5946,7284, 
L4_NBC,6,0,0,0,0,5,7,660,298,227,2529,1027,1088,124,27320,387,4,533,76,494,3161,2646,2641,116,76090,1222,31547,13627,25,829,12,300,1880,2298,1388,16,218,7803,61855,53580,6819,0,9341,0,2,13,55,92,3,11,0,19,10899,9719,10626, 
L4_NGC,0,0,0,0,0,0,0,7,11,5,8,0,32,0,490,0,0,21,11,11,0,179,123,0,2904,36,1227,527,0,9,0,0,99,65,12,0,10,258,2069,1885,178,0,339,0,0,5,0,5,0,0,0,0,431,345,306, 
L4_PC,0,0,0,3,0,0,6,2134,817,868,10570,5783,5434,414,114210,2347,62,2580,1179,2266,19008,22485,15800,500,481076,6481,174058,69355,589,10449,1515,4305,28800,46449,20438,158,2657,86041,751171,676539,80933,228,199109,1438,238,276,56808,9979,7168,3969,36,1296,116519,117094,148530, 
L4_SBC,5,0,0,0,0,0,0,244,169,129,940,646,429,18,13982,184,5,78,85,219,1481,1888,1458,34,38247,507,16878,7003,12,206,0,149,821,800,381,0,92,2718,26235,23551,3107,0,3491,0,0,0,0,4,0,7,0,14,5289,4501,4446, 
L4_SP,0,0,0,0,0,0,0,506,114,197,2208,1131,1076,47,22326,347,17,705,335,651,5619,6919,5436,177,145248,2467,52849,21144,209,3941,770,1476,9847,16059,6994,68,901,29630,257333,231283,27732,0,57373,230,44,60,7692,1979,1202,533,21,332,34086,34388,43552, 
L4_SS,34,13,8,9,6,19,24,924,382,316,3757,2305,2161,184,44395,1060,0,442,116,320,2249,3083,2036,54,65612,1049,23530,8937,75,1338,193,546,3204,5695,2678,12,277,11930,105126,94352,11044,0,18186,46,7,17,980,455,180,157,0,86,11893,12222,15910, 
L5_BP,0,0,0,0,7,0,0,9,0,0,37,59,16,0,639,12,0,0,0,6,38,14,59,4,1178,13,396,116,6,14,16,0,225,359,109,0,12,585,4879,3867,528,0,1380,0,0,0,265,66,39,34,0,0,729,581,740, 
L5_BTC,0,0,0,9,5,5,0,95,29,28,447,254,231,4,5285,50,1,91,21,68,735,895,723,23,23294,218,7212,3436,19,709,50,110,1276,2260,834,9,116,4891,42238,36353,3852,3,9032,75,14,7,1557,401,148,139,6,20,5475,5458,7371, 
L5_ChC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,78,0,36,42,0,0,0,0,0,0,0,0,0,42,1600,1121,37,0,17,0,0,0,41,0,0,0,0,0,12,3,10, 
L5_DBC,0,0,2,0,5,0,0,48,4,23,125,160,76,0,2449,33,6,59,25,30,184,258,174,0,5045,38,1453,635,28,336,74,92,1171,1971,844,8,40,2528,29394,24700,2652,20,9220,60,33,12,3237,747,283,187,0,39,4508,3870,6405, 
L5_LBC,30,8,12,10,22,0,0,240,65,82,808,636,478,30,9351,211,10,208,120,216,1781,2315,1332,88,50904,852,15077,6821,140,2486,496,1042,5644,10828,4956,21,537,16874,160193,148011,16272,44,45323,203,78,67,9711,1935,1179,753,9,356,21619,22657,31218, 
L5_MC,1300,337,884,583,493,500,66,2372,1223,857,10399,12590,6880,437,159682,3080,19,605,226,622,4564,5209,3951,126,148510,1612,47319,19525,112,2755,321,1004,6832,10360,4820,41,510,26253,255280,232730,20015,14,36035,76,11,25,1946,772,264,267,0,167,24071,24351,30466, 
L5_NBC,0,0,0,0,0,0,0,103,23,10,361,83,123,0,3114,34,20,257,180,161,1762,2699,1745,54,47645,423,15158,5903,180,3016,549,936,6242,11677,4988,62,618,19236,179120,156068,17186,24,40278,176,13,49,5859,1924,758,577,6,223,18845,20078,28402, 
